id,store,sales,location,min_weekly_visits,max_weekly_visits,mandatory_monday_visit,min_visit_duration,max_visit_duration,min_service_duration,max_service_duration,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
s_id_1,"Bodega Aurrera, Apodaca Sur","$1,074,604","25.7388447,-100.1547635",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_2,"Bodega Aurrera, Cadereyta","$2,197,008","25.6012966,-99.9840548",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_3,"Bodega Aurrera, Clouthier","$1,318,450","25.6852017,-100.4376034",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_4,"Bodega Aurrera, Diaz Berlanga","$1,424,004","25.742408,-100.2630081",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_5,"Bodega Aurrera, Domingo Nvo. Leon","$1,282,261","25.7562909,-100.2798413",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_6,"Bodega Aurrera, Dos Rios","$1,161,882","25.6765937,-100.1670455",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_7,"Bodega Aurrera, Escobedo Mty","$1,100,324","25.7879291,-100.303427",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_15,"Bodega Aurrera, Solidaridad","$1,351,758","25.7800545,-100.3871471",1,2,0,180,180,180,180,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_9,"Bodega Aurrera, Jards De La Primavera","$1,150,869","25.8194142,-100.2636224",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_10,"Bodega Aurrera, Lomas De Santa Monica","$1,129,459","25.6180159,-100.1721551",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
